Year,Country,Name,Age,Hometown,National Title,Date,Entrants,Page URL,Bio
2002,Panama,Justine Pasek[d][51],23,Panama City,Señorita Panamá 2001,"September 24, 2002",73,/wiki/Justine_Pasek,"Yostin Lissette ""Justine"" Pasek Patiño (born 27 August 1979) is a Polish-Panamanian model, philanthropist and beauty queen who was crowned Miss Universe 2002. Originally the first runner-up at the Miss Universe 2002 competition, Pasek became the first ever runner-up to be crowned the winner after the dethronement of original winner Oxana Fedorova."
2003,Dominican Republic,Amelia Vega[52],18,Santiago,Miss República Dominicana 2002,"June 3, 2003",71,/wiki/Amelia_Vega,"Amelia Vega Polanco (born 7 November 1984) is a Dominican model, actress, author, singer and beauty queen. At the age of 18, she won the Miss Universe 2003 pageant, becoming the first ever Miss Universe from the Dominican Republic, as well as the youngest winner since 1994. She is married to Al Horford."
2004,Australia,Jennifer Hawkins[53],20,Newcastle,Miss Universe Australia 2004,"June 1, 2004",80,/wiki/Jennifer_Hawkins,"Jennifer Hawkins (born 22 December 1983) is an Australian model, television presenter and beauty queen best known for being crowned Miss Universe Australia and later the same year Miss Universe 2004. She was the host of Australia's Next Top Model, and was brand ambassador for Lovable Intimates, Mount Franklin Lightly Sparkling and Range Rover, and formerly the face of Australian department store Myer."
2005,Canada,Natalie Glebova[54],23,Toronto,Miss Universe Canada 2005,"May 31, 2005",81,/wiki/Natalie_Glebova,"Natalie Glebova (born Natalya Vladimirovna Glebova;[a] 11 November 1981) is a Russian-Canadian television host, author, dancer, model and beauty queen who was crowned Miss Universe 2005. Glebova had previously been crowned Miss Universe Canada 2005."
2006,Puerto Rico,Zuleyka Rivera[55],18,Salinas,Miss Puerto Rico Universe 2006,"July 23, 2006",86,/wiki/Zuleyka_Rivera,"Zuleyka Jerrís Mendoza Rivera (born October 3, 1987) is a Puerto Rican actress, TV host, dancer, model and beauty queen who won Miss Universe 2006 in Los Angeles. She was previously crowned Miss Puerto Rico Universe 2006. She made her debut as a telenovela actress in Mexico's Telemundo's soap opera Dame Chocolate in 2007, which was followed by several other soap opera roles. In 2017 she appeared in the music video for ""Despacito"" by Luis Fonsi."
2007,Japan,Riyo Mori[56],20,Shizuoka,Miss Universe Japan 2007,"May 28, 2007",77,/wiki/Riyo_Mori,"Riyo Mori (森 理世, Mori Riyo) (born December 24, 1986) is a Japanese actress, dancer, model and beauty queen who was crowned Miss Universe 2007 in Mexico City."
2008,Venezuela,Dayana Mendoza[57],22,Caracas,Miss Venezuela 2007,"July 14, 2008",80,/wiki/Dayana_Mendoza,"Dayana Sabrina Mendoza Moncada (born 1 June 1986) is a Venezuelan actress, model, film producer and director. She is also a former beauty queen, winner of the titles of Miss Venezuela 2007 and Miss Universe 2008."
2009,Venezuela,Stefanía Fernández,18,Mérida,Miss Venezuela 2008,"August 23, 2009",83,/wiki/Stefan%C3%ADa_Fern%C3%A1ndez,"Stefanía Fernández Krupij (born 4 September 1990) is a Venezuelan journalist, model and beauty queen who won the Miss Venezuela 2008 and Miss Universe 2009 titles. She earned a Guinness World Records by being the first Miss Universe winner who was crowned by a compatriot."
2010,Mexico,Ximena Navarrete,22,Guadalajara,Nuestra Belleza México 2009,"August 23, 2010",83,/wiki/Ximena_Navarrete,"Jimena ""Ximena"" Navarrete Rosete (born February 22, 1988) is a Mexican actress, TV host, model and beauty queen who won Miss Universe 2010. She was previously named as Nuestra Belleza México 2009. She is the second Miss Universe from Mexico."
2011,Angola,Leila Lopes,25,Benguela,Miss Angola 2010,"September 12, 2011",89,/wiki/Leila_Lopes_(Angolan_actress),Leila Luliana da Costa Vieira Lopes Umenyiora (born 26 February 1986) is an Angolan model and beauty queen best known for having been crowned Miss Universe 2011. She had previously won Miss Angola UK 2010 and Miss Angola 2010.
2012,United States,Olivia Culpo,20,Cranston,Miss USA 2012,"December 19, 2012",89,/wiki/Olivia_Culpo,"Olivia Frances Culpo (born May 8, 1992) is an American model, fashion influencer, social media personality, and actress. After winning the Miss Rhode Island USA competition, she went on to be crowned Miss USA, and then Miss Universe in 2012."
2013,Venezuela,Gabriela Isler,25,Valencia,Miss Venezuela 2012,"November 9, 2013",86,/wiki/Gabriela_Isler,"María Gabriela de Jesús Isler Morales (born 21 March 1988) is a Venezuelan TV host, fashion model and beauty queen who was crowned Miss Universe 2013, gaining placement as the seventh Miss Universe of her country."
2014,Colombia,Paulina Vega,22,Barranquilla,Señorita Colombia 2013,"January 25, 2015",88,/wiki/Paulina_Vega,"Paulina Vega Dieppa (Spanish pronunciation: [pawˈlina ˈβeɣa]; born 15 January 1993) is a Colombian television host, model and beauty queen crowned Miss Colombia 2013 and Miss Universe 2014. Vega is the second Miss Universe from Colombia."
2015,Philippines,Pia Wurtzbach[58],26,Cagayan de Oro,Miss Universe Philippines 2015,"December 20, 2015",80,/wiki/Pia_Wurtzbach,"Pia Alonzo Wurtzbach (English: /wɜːrtsbæk, -bɑːk/ WORDS-back; Tagalog: [ˈpɪjɐ ɐˈlɔnsɔ ˈwuɾtsbɐk]; German: [ˈvʊʁtsbax]; born September 24, 1989), formerly known professionally as Pia Romero, is a Filipino  model, actress and beauty queen who is known for being crowned Miss Universe 2015."
2016,France,Iris Mittenaere[59],24,Lille,Miss France 2016,"January 30, 2017",86,/wiki/Iris_Mittenaere,"Iris Mittenaere (French: [iʁis mitənaʁ]; born 25 January 1993) is a French model, television host, and beauty pageant titleholder who was crowned Miss Universe 2016. She is the second Miss Universe from France after Christiane Martel, who was crowned Miss Universe 1953. Mittenaere had previously been crowned Miss France 2016 and Miss Nord-Pas-de-Calais 2015."
2017,South Africa,Demi-Leigh Nel-Peters,22,Sedgefield,Miss South Africa 2017,"November 26, 2017",92,/wiki/Demi-Leigh_Tebow,"Demi-Leigh Tebow (/ˈdɛmɪ ˈliː ˈtiːboʊ/ DE-mee-LEE TEE-bəu; née Nel-Peters; born 28 June 1995) is a South African model and beauty queen who was crowned Miss Universe 2017. She was crowned Miss South Africa 2017, and is the second Miss Universe winner from South Africa, following Margaret Gardiner who was crowned Miss Universe 1978."
2018,Philippines,Catriona Gray,24,Oas,Miss Universe Philippines 2018,"December 17, 2018",94,/wiki/Catriona_Gray,"Catriona Elisa Magnayon Gray (English: /kætrɪɔːnə, kɑːt-, ˈkʌt-/ KATH-ree-yaw-nə; Tagalog: [kaˈtɾjonɐ]; born 6 January 1994) is a Filipino-Australian model, singer, beauty queen, television personality, youth advocate and arts ambassador best known for winning the title of Miss Universe 2018. She is the fourth Filipina to win the Miss Universe competition. Previously, Gray was crowned Miss Universe Philippines 2018 and Miss World Philippines 2016."
2019,South Africa,Zozibini Tunzi,26,Tsolo,Miss South Africa 2019,"December 8, 2019",90,/wiki/Zozibini_Tunzi,"Zozibini Tunzi (born 18 September 1993), also known as Zozi Tunzi, is a South African model, actress and beauty pageant titleholder who was crowned Miss Universe 2019. Tunzi had previously been crowned Miss South Africa 2019. She is the third woman from South Africa to win the title, and the first black woman since Angolan Leila Lopes was crowned Miss Universe 2011."
2020,Mexico,Andrea Meza,26,Chihuahua City,Mexicana Universal 2020,"May 16, 2021",74,/wiki/Andrea_Meza,"Alma Andrea Meza Carmona (born 13 August 1994) is a Mexican model and beauty pageant titleholder who was crowned Miss Universe 2020. Since winning the title, she became the third Mexican woman to be crowned Miss Universe. Meza holds the record of the shortest completed reign in Miss Universe history to date."
2021,India,Harnaaz Sandhu[60],21,Chandigarh,Miss Diva Universe 2021,"December 13, 2021",80,/wiki/Harnaaz_Sandhu,"Harnaaz Kaur Sandhu (born 3 March 2000)[citation needed] is an Indian model, actress, and beauty pageant titleholder who was crowned Miss Universe 2021. Sandhu had been previously crowned Miss Diva Universe 2021, and is the third entrant from India to win Miss Universe. Sandhu was also crowned Femina Miss India Punjab in 2019, and placed as a semifinalist at Femina Miss India 2019."
2022,United States,R'Bonney Gabriel,28,Houston,Miss USA 2022,"January 14, 2023",83,/wiki/R%27Bonney_Gabriel,"R'Bonney Nola Gabriel (English: /ˈɑːrbəni ˈɡeɪbriəl/ AR-bən-ee GAY-bree-əl; Tagalog: [ˈrʔbɔnɪ gɐˈbɾjɛl]; born March 20, 1994) is an American fashion designer, model, and beauty queen who was crowned Miss Universe 2022, becoming the ninth delegate from the United States to win the title, as well as the oldest entrant to be crowned, surpassing Andrea Meza of Mexico. Gabriel was previously crowned as Miss USA 2022."
